theta,kappa,sigma
0.00012252610600149423,1.5307632615904385,0.001613864420264122
8.486682144319286e-05,1.405218813322056,0.0013687231622231029
9.7390270844739e-05,1.6470316657573003,0.0015341552913811327
8.629435353590193e-05,1.5472466498895532,0.0011935173376947511
6.211392649915778e-05,1.646263872550553,0.0014584164292715108
7.994255624181879e-05,1.4900492576228375,0.0011491841393963106
6.531983086709469e-05,1.7041351501518895,0.0013225540870501437
7.95317193383943e-05,1.470377279692576,0.0011769074825111194
6.699736041368999e-05,1.839279440699532,0.0013136676980382122
5.014007548517503e-05,2.0739150093139767,0.001484222751716513
6.342005110638217e-05,1.313676519760642,0.0011520309686411526
7.405234918109272e-05,1.6831932992551517,0.0013114537464107056
7.603186171757924e-05,1.4597933960312024,0.00117842294910953
7.205408055384381e-05,1.3370436009033033,0.0013234041738056266
6.53561710368141e-05,1.9710875598972426,0.0014374259895351123
5.998302826250793e-05,1.7164666257281964,0.0013649815479041274
8.221981912223667e-05,1.5613427504634578,0.0014083623204607053
7.77666004325117e-05,1.4748618056654197,0.001310217537786432
7.381128142815342e-05,1.7188629180014836,0.001489846014651799
0.00011657079865164817,1.3197466449055142,0.0011864495780454511
5.31669250515687e-05,2.0588231694989956,0.0017273419213185582
0.0001059195766843194,1.7142697627249597,0.0013035646173651407
8.43274664659812e-05,1.844523993948566,0.0018029717468098236
7.187613243895291e-05,1.744368302680958,0.0013905970979670344
0.0001115601518248921,1.2144807547908694,0.0012261228905583897
4.949665078251379e-05,1.7727531303817134,0.001345518933517798
6.095077681581415e-05,1.7994008504242718,0.0012735524443246975
6.860231900883179e-05,1.6582543391836184,0.0012106347591637043
5.0639821330906594e-05,1.5822172796421003,0.0011322332698422619
6.346578045538825e-05,1.8172636616243942,0.001202145128509918
9.125444242766269e-05,1.4275561836214576,0.0011292052676813722
4.565384043732825e-05,1.8085842029918044,0.0013917777253483101
7.884701668155475e-05,1.7069847505327334,0.0014260277257773302
6.244992190609682e-05,1.7470205091225395,0.001261630916777797
8.879257865267355e-05,1.6488140881838216,0.0012975177285086147
5.6252214526875284e-05,1.7947382118906592,0.0011769174224661126
5.3957921371262026e-05,1.6311097390536144,0.0011590793687315342
5.9632079174604204e-05,1.5537098984846796,0.0013152606716903541
7.337146324147934e-05,1.860736976294065,0.001245071275787009
4.6463568200250745e-05,1.4599993484537257,0.001231631882372766
5.8201393329673404e-05,1.8376365608767227,0.0012054573061641752
5.970520847832866e-05,1.4022836986810545,0.0011790855733206315
6.496188410570412e-05,1.76354702053847,0.0013414001489177494
6.153497513990995e-05,1.688460167386456,0.0012882130872969787
8.26715610826033e-05,1.5598573156356987,0.0012338435401493784
8.957919459387737e-05,1.535484101155601,0.0014429521235803466
7.624823316168108e-05,1.5675545033278029,0.001496960595920776
4.041310183313199e-05,1.9446797702477665,0.0015377703180270547
5.8314374168303143e-05,1.8834663151486977,0.0012983799474422615
4.66099806578495e-05,1.7871132228428073,0.0014608217614039518
9.950998815862638e-05,1.3926738660802058,0.0013321984852684861
5.1603669618055104e-05,1.6146805154850137,0.0013815459180315705
5.548995519324947e-05,1.9823718635150884,0.0011964067866528866
5.5313498284498715e-05,1.5579787844317676,0.0012839816283662766
6.896378221990835e-05,2.081224189134405,0.001669407888162837
8.692567571122779e-05,1.6875743907982386,0.0013048411317676206
8.259130167409396e-05,1.6303926925769867,0.0013788854883526073
8.17114204243208e-05,1.7041484443498032,0.0014954733443117059
7.869392267465855e-05,1.679904480293691,0.0013400260346271102
6.571078854281029e-05,1.36386513706389,0.0011644529614007924
4.4890687684079636e-05,1.7975870308098774,0.0014319754944840722
3.947011258998807e-05,1.3834896295612218,0.0012431044859527128
8.707776525702758e-05,1.1986541126255408,0.001242173972799886
7.715055986497489e-05,1.750376330048603,0.0012861014157275082
8.366758372225399e-05,1.6301932875761416,0.001281344604951005
8.525626873719519e-05,1.580208383997061,0.0011839938049753864
7.262973743090518e-05,1.6124103711751403,0.0012007861603220925
5.533167914902484e-05,1.8331250802598456,0.0013496941575992642
4.397632983356828e-05,1.960925977489408,0.0012291864064991275
7.513899578371071e-05,1.6961143823804408,0.0014452978914559142
5.0178012134902444e-05,1.9600966325343525,0.0011744723631124747
7.78775311431363e-05,1.4720025354917676,0.0012552416453718756
5.9637978145985383e-05,1.7912124167638963,0.0015721385410092715
